name,address,lat,lng,scale,contact,web,description,source,tags
Morville-sur-Seille : le village lorrain qui rêvait de démocratie,Morville-sur-Seille,48.9169922,6.1564779,,,http://www.tourdefrancedesalternatives.fr/alternatives/morville-sur-seille-le-village-lorrain-qui-revait-de-democratie/,"Osons la démocratie participative - La démocratie frappe à la porte d'un village Lorrain. Lors des prochaines élections municipales, les habitants auront le choix entre une liste proposant l'implication des habitants et la transparence, et celle portée par le maire sortant, étranger aux notions de concertation et de participation citoyenne.",tour,politics
"A Brest, une super Amap pour sortir du supermaché",Brest,48.3903923,-4.4860759,,,http://www.tourdefrancedesalternatives.fr/alternatives/court-circuit/ - http://court-circuit-ess.infini.fr/,"Court circuit en Pays de Brest - Une association propose aux Brestois d'acheter chaque semaine toute une gamme de produits (légumes, pains, laitages, herbes, jus...) locaux, bios et de saison. En plus de leur offrir une alternative aux supermarchés et changer les habitudes alimentaires des membres, l'association veut diversifier ses activités pour aller plus loin dans la relocalisation de l'économie. ",tour,eat economy
Faire revivre un quartier grâce à un bâtiment municipal occupé,Brest,48.3893776,-4.5014062,,,http://www.tourdefrancedesalternatives.fr/alternatives/squat-quartier/ - http://epm.vivrelarue.net/,"Au coin d'la rue - A Brest, un quartier jadis malfamé attire aujourd'hui les touristes. Ceci grâce à la mobilisation des habitants qui ont redonné vie à l'une des plus anciennes rues brestoises, notamment grâce à un bâtiment municipal transformé en café associatif, QG des habitants du quartier.",tour,space
Un autre internet (solidaire et non-commercial) est possible !,Toulouse,43.604641,1.4456389,,,http://www.tourdefrancedesalternatives.fr/alternatives/autre-internet-solidaire-non-commercial-est/ - http://tetaneutral.net/,"Tetaneutral - Pour lutter contre la surveillance du web et les atteintes à la neutralité du net, une association toulousaine a monté son propre fournisseur d’accès à Internet (FAI). Un an et demi plus tard, l’association relie plus de 150 foyers et croule sous les demandes. Reportage chez les pionniers de l’Internet associatif, libre et solidaire. Qui œuvrent également à réduire la fracture numérique en connectant au réseau squats urbains et hameaux ruraux.",tour,web
"Une banque villageoise, solidaire et qui prête à taux zéro : rien d’impossible",Vallée d'Aspe (64),42.9633408,-0.598014,,,http://www.tourdefrancedesalternatives.fr/alternatives/banque-villageoise-solidaire/ - http://aspe-solidaire.solidairesdumonde.org/,"Aspe solidaire - C’est une autre manière de reprendre le contrôle de son épargne. Les habitants de la vallée d’Aspe, près de la frontière espagnole, ont décidé de se mobiliser pour relocaliser l’économie et créer des emplois. Leur association Aspe solidaire collecte l’épargne des habitants afin de financer des activités dans la vallée. Et d’enrayer la désertification. L’économie par les citoyens et au service des citoyens.",tour,economy
"Autonomie, émancipation et DIY au programme d’un collège rennais",Le Rheu (35),48.1010971,-1.795384,,,http://www.tourdefrancedesalternatives.fr/alternatives/college-montessori-autonomie/ - http://www.college-montessori.org/,"Collège Montessori - Un collège sans notes où les élèves sont ""maîtres de leur apprentissage"" et décident du règlement avec les professeurs... Non, il ne s'agit d'un rêve de soixante-huitard mais d'un établissement près de Rennes qui applique la pédagogie Montessori. Reportage.",tour,education
"La lettre à Lulu, ou le journalisme sans pression (et sans argent)",Nantes,47.2118874,-1.5532589,,,http://www.tourdefrancedesalternatives.fr/alternatives/lettre-lulu-sale-gosse-presse-nantaise/ - http://www.lalettrealulu.com/,"La lettre à Lulu - Depuis près de 20 ans, un ""irrégulomadaire"" satirique secoue le cocotier politico-médiatique nantais. Créé par une bande de potes et porté par des volontaires, la lettre à Lulu expérimente une pratique trop souvent oubliée par les journaux actuels : l'indépendance.",tour,media
"Avec les coopératives d’activité et d’emploi, devenez entrepreneur tout en restant salarié",Nantes,47.2103348,-1.651444,,,http://www.tourdefrancedesalternatives.fr/alternatives/cooperatives-entrepreneur-salarie/ - http://www.resotpe.com/Accompagnement-a-la-creation-d-entreprise-Nantes-St-Nazaire,"Ouvre-boîtes - A mi-chemin entre la sécurité du salariat et la liberté de l’entrepreneuriat, la coopérative l'Ouvre-boîtes propose à ses membres une nouvelle façon d'entreprendre basée sur la coopération et l'autonomie au sein d'un collectif.",tour,work economy
Agriculture bio et spiritualité dans une ferme charentaise,Saint-Laurent-de-Céris (16),45.9418793,0.478897,,,http://www.tourdefrancedesalternatives.fr/alternatives/agriculture-bio-spiritualite/ - http://lagrolebagnade.wix.com,"La Grole Bagnade - A la Grole Bagnade en Charente, une famille de néo-ruraux pratique depuis 3 ans la biodynamie, une forme d'agriculture biologique où les paysans évoluent en harmonie avec la flore, la faune... et <em>""les énergies terrestres"". </em>",tour,agriculture
"A Toulouse, une « coopérative intégrale » prépare l’après-capitalisme",Toulouse,43.5680389,1.3925815,,,http://www.tourdefrancedesalternatives.fr/alternatives/toulouse-une-cooperative-integrale-prepare-lapres-capitalisme/ - http://cooperative-integrale-toulouse.org/,"Coopérative intégrale toulousaine - Le capitalisme ne constitue pas un horizon indépassable. C’est ce que tentent de prouver les coopératives intégrales en posant les bases d’un nouveau système économique basé sur l’autogestion, la coopération, les relations de proximité et la décroissance. Ce concept né en Catalogne essaime à travers l’Europe et notamment à Toulouse.",tour,economy politics
Et si vous répariez votre voiture vous-même ?,Bordeaux,44.8377876,-0.57918,,,http://www.tourdefrancedesalternatives.fr/alternatives/autoreparation-voiture-diy/ - http://legaragemoderne.org/,"Le Garage moderne - La mécanique  est une chose trop sérieuse pour être laissée aux seuls mécaniciens. Tel pourrait être le slogan de l'association le Garage moderne à Bordeaux. Depuis plus de 10 ans, les adhérents y apprennent à réparer leur voiture, leur vélo ou leur moto tout en faisant des économies et des rencontres.",tour,tech move
